"[1, 1, 1, 1, 1, 1]","(0, 0, 0, 0, -738097079296302085391592, -922621349120377606739490, 0, 922621349120377606739490, 738097079296302085391592, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -369048539648151042695796, -369048539648151042695796, -461310674560188803369745, -461310674560188803369745, 0, 0, 461310674560188803369745, 461310674560188803369745, 369048539648151042695796, 369048539648151042695796, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -104427322983251080870923, -136466101719580857061713, -272932203439161714123426, 61668882767047517905851, -86440496258869620167920, 330224974144380624945940, 260738629861045941835415, 260738629861045941835415, 330224974144380624945940, -86440496258869620167920, 61668882767047517905851, -272932203439161714123426, -136466101719580857061713, -104427322983251080870923, 0, 0, 0, 0, 0, 0, 0, 0, -104427322983251080870923, 32038778736329776190790, 0, 227042325221676349971279, 215399047915340068959221, 200102421842844947575172, 278725456585427402538418, -69486344283334683110525, 69486344283334683110525, -278725456585427402538418, -200102421842844947575172, -215399047915340068959221, -227042325221676349971279, 0, -32038778736329776190790, 104427322983251080870923, 0, 0, 0, 0, 0, 369048539648151042695796, 272932203439161714123426, 334601086206209232029277, 215399047915340068959221, 15296626072495121384049, 0, -257527063586896562534443, -227352236674853106905541, -227352236674853106905541, -257527063586896562534443, 0, 15296626072495121384049, 215399047915340068959221, 334601086206209232029277, 272932203439161714123426, 369048539648151042695796, 0, 0, 738097079296302085391592, 369048539648151042695796, -92262134912037760673949, -86440496258869620167920, -416665470403250245113860, -278725456585427402538418, -348211800868762085648943, -227352236674853106905541, 0, 0, 227352236674853106905541, 348211800868762085648943, 278725456585427402538418, 416665470403250245113860, 86440496258869620167920, 92262134912037760673949, -369048539648151042695796, -738097079296302085391592, -922621349120377606739490, -461310674560188803369745, -461310674560188803369745, -260738629861045941835415, 0, 69486344283334683110525, 348211800868762085648943, 257527063586896562534443, 257527063586896562534443, 348211800868762085648943, 69486344283334683110525, 0, -260738629861045941835415, -461310674560188803369745, -461310674560188803369745, -922621349120377606739490, 0, 0, 461310674560188803369745, 330224974144380624945940, 416665470403250245113860, 200102421842844947575172, -15296626072495121384049, 15296626072495121384049, -200102421842844947575172, -416665470403250245113860, -330224974144380624945940, -461310674560188803369745, 0, 0, 922621349120377606739490, 461310674560188803369745, 92262134912037760673949, -61668882767047517905851, -334601086206209232029277, -227042325221676349971279, -227042325221676349971279, -334601086206209232029277, -61668882767047517905851, 92262134912037760673949, 461310674560188803369745, 922621349120377606739490, -738097079296302085391592, -369048539648151042695796, -369048539648151042695796, -136466101719580857061713, -32038778736329776190790, 32038778736329776190790, 136466101719580857061713, 369048539648151042695796, 369048539648151042695796, 738097079296302085391592, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
"[1, 1, 1, 0, 0, 0]","(0, 0, 0, -13285747427333437537048656, 0, 14761941585926041707831840, 0, -14761941585926041707831840, 0, 13285747427333437537048656, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2296202372630252800901976, 0, 0, -3537612267688221470333656, -2282390313470254088397824, 0, 0, 2318318342686119660345980, 2318318342686119660345980, 0, 0, -2282390313470254088397824, -3537612267688221470333656, 0, 0, 2296202372630252800901976, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -13285747427333437537048656, 0, 0, 3537612267688221470333656, 1255221954217967381935832, 0, 0, 0, 357626597866305947871948, 0, 0, 357626597866305947871948, 0, 0, 0, 1255221954217967381935832, 3537612267688221470333656, 0, 0, -13285747427333437537048656, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14761941585926041707831840, 0, 0, -2318318342686119660345980, 0, 0, 0, -357626597866305947871948, -357626597866305947871948, 0, 0, 0, -2318318342686119660345980, 0, 0, 14761941585926041707831840, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -14761941585926041707831840, 0, 0, 2282390313470254088397824, -1255221954217967381935832, 0, 0, -1255221954217967381935832, 2282390313470254088397824, 0, 0, -14761941585926041707831840, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13285747427333437537048656, 0, 0, -2296202372630252800901976, -2296202372630252800901976, 0, 0, 13285747427333437537048656, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
"[1, 1, 2, 0, 0, 0]","(0, 0, 0, 159428969128001250444583872, 0, -265714948546668750740973120, 0, 310000773304446875864468640, 0, -478286907384003751333751616, 0, 2922864434013356258150704320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -27554428471563033610823712, 0, 0, 49680033781624229714107824, 32965867339923649602958560, 0, 0, -84043017173994877981572240, -19589555243434932291950880, 0, 0, 12404918227108550850958656, -128132766420329587767465216, 0, 0, -148433025807893597188782528, 298063745088364417452535440, 0, 0, -1674487473577070455762604640, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 159428969128001250444583872, 0, 0, -49680033781624229714107824, -16714166441700580111149264, 0, 0, 0, -47302709120943707913615120, 0, 0, 242097265775180763946185024, 177909410674342057959794880, 0, 0, -132819762607315198968316560, -40946841144889714677863808, 0, 0, 1915427670054931963849221792, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -265714948546668750740973120, 0, 0, 84043017173994877981572240, 64453461930559945689621360, 0, 0, -242097265775180763946185024, -64187855100838705986390144, 0, 0, 0, -28545667661182814102684160, 0, 0, -2092556202252160729800864480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 310000773304446875864468640, 0, 0, -12404918227108550850958656, -140537684647438138618423872, 0, 0, 132819762607315198968316560, 91872921462425484290452752, 0, 0, 2092556202252160729800864480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -478286907384003751333751616, 0, 0, 148433025807893597188782528, 446496770896258014641317968, 0, 0, -1915427670054931963849221792, 0, 0, 0, 0, 0, 0, 2922864434013356258150704320, 0, 0, 1674487473577070455762604640, 0, 0)"
"[1, 1, 3, 1, 1, 1]","(0, 0, 0, 0, -76762096246815416880725568, -125476503480371354516570640, 132857474273334375370486560, 553572809472226564043694000, 194857628934223750543380288, -1434860722152011254001254848, -2214291237888906256174776000, 15588610314737900043470423040, 175371866040801375489042259200, 0, 0, 0, 0, 0, 0, 0, 0, -38381048123407708440362784, -38381048123407708440362784, -62738251740185677258285320, -62738251740185677258285320, 66428737136667187685243280, 66428737136667187685243280, 276786404736113282021847000, 276786404736113282021847000, 97428814467111875271690144, 97428814467111875271690144, -717430361076005627000627424, -717430361076005627000627424, -1107145618944453128087388000, -1107145618944453128087388000, 7794305157368950021735211520, 7794305157368950021735211520, 87685933020400687744521129600, 87685933020400687744521129600, 0, 0, 0, 0, 0, -10860441590258112410575992, -14192474578836409134418152, -28384949157672818268836304, -5164756689229136194386984, -19836752401070591842296320, 59613071360801362543510640, 115440036491734662984819560, 96039883934534967810804280, 233378008603010996164713120, -52111200673063355036070640, -115787149519024808926340856, -330460207331194229881403216, -943957664113009808764128480, -300654631998142481220604800, 49669525393250386167680112, 3279917989293467031861376560, 5992529956692030742054021800, 23339934607280872417184281560, 42183337849880552880637637280, 0, 0, 0, -10860441590258112410575992, 3332032988578296723842160, 0, 13625891870514244166035704, 13146370737509197652544520, 27740643684151059050075536, 98239604526925815139293792, -13868603066162857016251560, 67642556471379870896348360, -96038060311411747903886512, -297052133825849230148065568, -67934742927157537561783400, -617756250863011662554238448, 138885132553150411839781760, 1102706746726358858110791936, 550113836150792510474149536, 2912401646157963353278509864, -6761369600077341063593624400, 9369421675123775689667086080, 0, 0, 38381048123407708440362784, 28384949157672818268836304, 23220192468443682074449320, 13146370737509197652544520, -14594272946641861397531016, 0, -98473371513521479407384296, -115616272821682394643488984, -108252637641229419717864664, -268482437232537938481237512, 106565144696990728031306928, -776085520133537681330072928, -144189815677132189026558480, -423615674871187620493645896, -436280252795743988204848848, 4627620085049178172274855232, -6425982446135995731778654752, -3324099933861644353379078880, 76762096246815416880725568, 38381048123407708440362784, -24357203616777968817922536, -19836752401070591842296320, -79449823761871954385806960, -98239604526925815139293792, -112108207593088672155545352, -115616272821682394643488984, -7363635180452974925624320, 0, 282541177421608009274605240, -1096018351687395339329911760, -498222649902001299704741360, -1154223595159534557927897696, 1378796973604048775411471144, 12180626293957104134035169208, 5102790200664061158406462048, -11191282719837063919676794368, -125476503480371354516570640, -62738251740185677258285320, -129166988876852864943528600, -115440036491734662984819560, -19400152557199695174015280, 67642556471379870896348360, 163680616782791618800234872, 268482437232537938481237512, 375047581929528666512544440, -1096018351687395339329911760, -597795701785394039625170400, 0, 3302272663452849776061125960, 18979271925850845973777900920, 10614135912206443312026158040, -11035827531737779435034983920, -132857474273334375370486560, -66428737136667187685243280, 210357667599446094336603720, 233378008603010996164713120, 285489209276074351200783760, 297052133825849230148065568, 229117390898691692586282168, -776085520133537681330072928, -631895704456405492303514448, 1154223595159534557927897696, 2533020568763583333339368840, 18979271925850845973777900920, 8365136013644402661751742880, 0, 553572809472226564043694000, 276786404736113282021847000, 179357590269001406750156856, 115787149519024808926340856, -214673057812169420955062360, -617756250863011662554238448, -756641383416162074394020208, 423615674871187620493645896, -12664577924556367711202952, 12180626293957104134035169208, 7077836093293042975628707160, 11035827531737779435034983920, -194857628934223750543380288, -97428814467111875271690144, -814859175543117502272317568, -943957664113009808764128480, -643303032114867327543523680, -1102706746726358858110791936, -552592910575566347636642400, 4627620085049178172274855232, 11053602531185173904053509984, 11191282719837063919676794368, -1434860722152011254001254848, -717430361076005627000627424, 389715257868447501086760576, -49669525393250386167680112, 3230248463900216645693696448, 2912401646157963353278509864, 9673771246235304416872134264, 3324099933861644353379078880, 2214291237888906256174776000, 1107145618944453128087388000, 8901450776313403149822599520, 5992529956692030742054021800, -17347404650588841675130259760, -9369421675123775689667086080, 15588610314737900043470423040, 7794305157368950021735211520, -79891627863031737722785918080, -42183337849880552880637637280, -175371866040801375489042259200, -87685933020400687744521129600)"
"[2, 2, 2, 2, 2, 2]","(0, 80979222173541934853054231040, 39409034615497314589710950400, -5612146509517972801746485760, -10156696904395978129181394432, -1017527059332552194743008640, 0, 1017527059332552194743008640, 10156696904395978129181394432, 5612146509517972801746485760, -39409034615497314589710950400, -80979222173541934853054231040, 0, 0, 0, 40489611086770967426527115520, 40489611086770967426527115520, 19704517307748657294855475200, 19704517307748657294855475200, -2806073254758986400873242880, -2806073254758986400873242880, -5078348452197989064590697216, -5078348452197989064590697216, -508763529666276097371504320, -508763529666276097371504320, 0, 0, 508763529666276097371504320, 508763529666276097371504320, 5078348452197989064590697216, 5078348452197989064590697216, 2806073254758986400873242880, 2806073254758986400873242880, -19704517307748657294855475200, -19704517307748657294855475200, -40489611086770967426527115520, -40489611086770967426527115520, 0, 0, 80979222173541934853054231040, 40489611086770967426527115520, 20785093779022310131671640320, 0, -1725496783485333564057077760, -42910530950866042664740650048, -22388854210900030818064968384, -43052211638314728072072859008, -13121791336915747384505437888, -11891615902983537600305376512, 10368817047748103467718822400, 14131547372418211084994984000, 14131547372418211084994984000, 10368817047748103467718822400, -11891615902983537600305376512, -13121791336915747384505437888, -43052211638314728072072859008, -22388854210900030818064968384, -42910530950866042664740650048, -1725496783485333564057077760, 0, 20785093779022310131671640320, 40489611086770967426527115520, 80979222173541934853054231040, -39409034615497314589710950400, -19704517307748657294855475200, -22510590562507643695728718080, -42910530950866042664740650048, -20521676739966011846675681664, 0, 20811342964698415961874917440, 42704875826045323000082869440, 36651235556462389821160204032, 39183790447200287654236304256, 3762730324670107617276161600, -3762730324670107617276161600, -39183790447200287654236304256, -36651235556462389821160204032, -42704875826045323000082869440, -20811342964698415961874917440, 0, 20521676739966011846675681664, 42910530950866042664740650048, 22510590562507643695728718080, 19704517307748657294855475200, 39409034615497314589710950400, -5612146509517972801746485760, -2806073254758986400873242880, 2272275197439002663717454336, 43052211638314728072072859008, 29930420301398980687567421120, 42704875826045323000082869440, 6053640269582933178922665408, 0, -37645749783934266350432451904, -42674757553973322884246663616, -42674757553973322884246663616, -37645749783934266350432451904, 0, 6053640269582933178922665408, 42704875826045323000082869440, 29930420301398980687567421120, 43052211638314728072072859008, 2272275197439002663717454336, -2806073254758986400873242880, -5612146509517972801746485760, 10156696904395978129181394432, 5078348452197989064590697216, 4569584922531712967219192896, -11891615902983537600305376512, -22260432950731641068024198912, -39183790447200287654236304256, -35421060122530180036960142656, -42674757553973322884246663616, 0, 0, 42674757553973322884246663616, 35421060122530180036960142656, 39183790447200287654236304256, 22260432950731641068024198912, 11891615902983537600305376512, -4569584922531712967219192896, -5078348452197989064590697216, -10156696904395978129181394432, -1017527059332552194743008640, -508763529666276097371504320, -508763529666276097371504320, -14131547372418211084994984000, 0, -3762730324670107617276161600, 35421060122530180036960142656, 37645749783934266350432451904, 37645749783934266350432451904, 35421060122530180036960142656, -3762730324670107617276161600, 0, -14131547372418211084994984000, -508763529666276097371504320, -508763529666276097371504320, -1017527059332552194743008640, 0, 0, 508763529666276097371504320, 10368817047748103467718822400, 22260432950731641068024198912, 36651235556462389821160204032, -6053640269582933178922665408, 6053640269582933178922665408, -36651235556462389821160204032, -22260432950731641068024198912, -10368817047748103467718822400, -508763529666276097371504320, 0, 0, 1017527059332552194743008640, 508763529666276097371504320, -4569584922531712967219192896, 13121791336915747384505437888, -29930420301398980687567421120, -20811342964698415961874917440, -20811342964698415961874917440, -29930420301398980687567421120, 13121791336915747384505437888, -4569584922531712967219192896, 508763529666276097371504320, 1017527059332552194743008640, -10156696904395978129181394432, -5078348452197989064590697216, -2272275197439002663717454336, -22388854210900030818064968384, 20521676739966011846675681664, -20521676739966011846675681664, 22388854210900030818064968384, 2272275197439002663717454336, 5078348452197989064590697216, 10156696904395978129181394432, 5612146509517972801746485760, 2806073254758986400873242880, 22510590562507643695728718080, 1725496783485333564057077760, 1725496783485333564057077760, 22510590562507643695728718080, 2806073254758986400873242880, 5612146509517972801746485760, 39409034615497314589710950400, 19704517307748657294855475200, -20785093779022310131671640320, 20785093779022310131671640320, -19704517307748657294855475200, -39409034615497314589710950400, -80979222173541934853054231040, -40489611086770967426527115520, -40489611086770967426527115520, -80979222173541934853054231040, 0, 0)"
"[1, 3, 3, 2, 0, 0]","(0, -140297492832641100391233807360, -34011513413973600094844559360, 17856044542336140049793393664, -124614406091753273680833260544, -171356617929429492144511998720, 0, 171356617929429492144511998720, 124614406091753273680833260544, -17856044542336140049793393664, 34011513413973600094844559360, 140297492832641100391233807360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 431405490944748054665136222720, 150600096870980461254669715200, 125616517670157903230017731840, -30426172890516157084165463040, 3991735572409193673147300864, -77556692941026083936434075968, -51980188068466434355238329536, -80715385889167351035581685888, -124101585061947652428450067200, -87515274645136338750243020608, -136291954584540303310567501760, -106496953043808503380732973440, -106496953043808503380732973440, -136291954584540303310567501760, -87515274645136338750243020608, -124101585061947652428450067200, -80715385889167351035581685888, -51980188068466434355238329536, -77556692941026083936434075968, 3991735572409193673147300864, -30426172890516157084165463040, 125616517670157903230017731840, 150600096870980461254669715200, 431405490944748054665136222720, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1131663934533066931092219812352, -2570485079319233777595370043712, -1740831051764716803259304330304, -1233723966464196981443669854080, -1175139996997994154144705941376, -326819596616643159977440180864, -442392918759420776521151021184, 334573123438187749255811667840, 208234070109410792445880168832, 484271389452021896843718966912, 484271389452021896843718966912, 208234070109410792445880168832, 334573123438187749255811667840, -442392918759420776521151021184, -326819596616643159977440180864, -1175139996997994154144705941376, -1233723966464196981443669854080, -1740831051764716803259304330304, -2570485079319233777595370043712, -1131663934533066931092219812352, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3155272202021758359783497333760, 5352846140509008111316665752640, 3280912397111740734344991791040, 1804393300942836050501378227840, 1740505716084675584563751717760, -101991565496364482254857573120, -66009163680368551163032766720, -1029219629957925894921579451264, -1029219629957925894921579451264, -66009163680368551163032766720, -101991565496364482254857573120, 1740505716084675584563751717760, 1804393300942836050501378227840, 3280912397111740734344991791040, 5352846140509008111316665752640, 3155272202021758359783497333760, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8633833447082480490479846302080, -7167821241967090021609810016320, -3359016801961938764350257638976, -133373490072201694257937782784, -1196708441554350197239432260864, -492290244922872399141083557120, -492290244922872399141083557120, -1196708441554350197239432260864, -133373490072201694257937782784, -3359016801961938764350257638976, -7167821241967090021609810016320, -8633833447082480490479846302080, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17200365579051053826587936188032, 37581760284994402420506920259264, -4171382345139755570630446063296, -3349171716172119787201473180672, -3349171716172119787201473180672, -4171382345139755570630446063296, 37581760284994402420506920259264, 17200365579051053826587936188032, 0, 0, 0, 0, 0, 0, -52060112863600636903620884887680, -267173511023289004766074392005760, -267173511023289004766074392005760, -52060112863600636903620884887680, 0, 0)"
"[2, 2, 2, 0, 0, 0]","(0, 0, 0, 799401315177989486267818309632, 0, -629866558023937731048027704320, 0, 629866558023937731048027704320, 0, -799401315177989486267818309632, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 156329681969331837020250158592, 0, 0, -492869962562988286270232647168, -350253357632253352358312270848, 0, 0, 701677186206397282641309512960, 701677186206397282641309512960, 0, 0, -350253357632253352358312270848, -492869962562988286270232647168, 0, 0, 156329681969331837020250158592, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 799401315177989486267818309632, 0, 0, 492869962562988286270232647168, 142616604930734933911920376320, 0, 0, 0, -130665545459571536323813731072, 0, 0, -130665545459571536323813731072, 0, 0, 0, 142616604930734933911920376320, 492869962562988286270232647168, 0, 0, 799401315177989486267818309632, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -629866558023937731048027704320, 0, 0, -701677186206397282641309512960, 0, 0, 0, 130665545459571536323813731072, 130665545459571536323813731072, 0, 0, 0, -701677186206397282641309512960, 0, 0, -629866558023937731048027704320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 629866558023937731048027704320, 0, 0, 350253357632253352358312270848, -142616604930734933911920376320, 0, 0, -142616604930734933911920376320, 350253357632253352358312270848, 0, 0, 629866558023937731048027704320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -799401315177989486267818309632, 0, 0, -156329681969331837020250158592, -156329681969331837020250158592, 0, 0, -799401315177989486267818309632, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
