"[1, 1, 1, 1, 1, 1]","(0, 0, 15190911172, 0, -15190911172, 0, 0, 0, 0, 0, 0, 7595455586, 7595455586, 0, 0, -7595455586, -7595455586, 0, 0, 0, 0, 0, 0, 0, 0, 11004590531, 10322763542, 0, 9640936553, 8764813140, -1363653978, 0, 1363653978, -8764813140, -9640936553, 0, -10322763542, -11004590531, 0, 0, 0, 0, 0, 0, 0, 0, 11004590531, 11686417520, 0, 11004590531, 11004590531, 13147219710, 0, 5161381771, 4382406570, 5843208760, -5843208760, -4382406570, -5161381771, 0, -13147219710, -11004590531, -11004590531, 0, -11686417520, -11004590531, 0, 0, 0, 0, 0, 0, -7595455586, 0, -9640936553, -10517059966, 0, -5161381771, -5940356972, -8180134363, 0, -2921604380, -2921604380, 0, -8180134363, -5940356972, -5161381771, 0, -10517059966, -9640936553, 0, -7595455586, 0, 0, -15190911172, -7595455586, -7595455586, 1363653978, 1363653978, 0, 5843208760, 1460802190, 2239777391, 8180134363, -8180134363, -2239777391, -1460802190, -5843208760, 0, -1363653978, -1363653978, 7595455586, 7595455586, 15190911172, 0, 0, 7595455586, -8764813140, 876123413, 10517059966, -13147219710, -2142629179, -2142629179, -13147219710, 10517059966, 876123413, -8764813140, 7595455586, 0, 0, 15190911172, 7595455586, 7595455586, 10322763542, -681826989, -11686417520, 11686417520, 681826989, -10322763542, -7595455586, -7595455586, -15190911172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
"[1, 1, 1, 0, 0, 0]","(0, 303818223440, 0, 0, 0, -303818223440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 145691626152, 0, 0, 0, 1554371392, -189709988276, -264110172744, 0, 0, 0, 264110172744, 189709988276, -1554371392, 0, 0, 0, -145691626152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 303818223440, 0, 0, 1554371392, 191264359668, 116864175200, 0, 0, 0, 0, 0, -245414767920, -245414767920, 0, 0, 0, 0, 0, 116864175200, 191264359668, 1554371392, 0, 0, 303818223440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 264110172744, 74400184468, -116864175200, 0, 0, 0, 0, -116864175200, 74400184468, 264110172744, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -303818223440, 0, 0, -145691626152, -145691626152, 0, 0, -303818223440, 0, 0, 0, 0)"
"[1, 1, 2, 0, 0, 0]","(0, -3645818681280, 0, 1093745604384, 0, 5468728021920, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1748299513824, 0, 0, 0, 528220345488, 1715571818352, 2426083097904, 0, 0, 0, -5174694140112, -3496599027648, -6502282623216, 0, 0, 0, 3515251484352, 5188941171360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3645818681280, 0, 0, 528220345488, -1187351472864, -476840193312, 0, 0, 0, 0, 0, 6317531287704, 6317531287704, 2327900011488, 0, 0, 0, 0, -14023185646560, -4251796424952, -10025602481832, 0, 0, -71336866363536, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1093745604384, 0, 0, -5174694140112, -1678095112464, -4683778708032, 0, 0, 0, 0, 14023185646560, 9771389221608, 15545195278488, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5468728021920, 0, 0, 3515251484352, -1673689687008, 0, 0, 71336866363536, 0, 0, 0, 0)"
"[1, 1, 3, 1, 1, 1]","(0, 0, 1579854761888, 1458327472512, -1215272893760, 13368001831360, 71093464284960, 0, 0, 0, 0, 789927380944, 789927380944, 729163736256, 729163736256, -607636446880, -607636446880, 6684000915680, 6684000915680, 35546732142480, 35546732142480, 0, 0, 0, 0, 1144477415224, 1073567408368, 704293793984, 1354804298504, 1061103805152, -511093628096, -266484677952, -732329743200, -7516755286608, -6541227804256, 1838453054560, -15377742452848, 713333701536, 13251280816560, 5723092681616, 30604966611960, 157695401363760, 0, 0, 0, 0, 1144477415224, 1215387422080, 0, 1496624312216, 1496624312216, 1227073839600, 1056440690976, 704293793984, -100514643504, -794676391360, -1161604132616, -4389444189384, -6603574452416, -584320876000, -11639714798040, -13926280807240, -1709440229024, 2103555153600, -22762795455832, 232879584504, 19457240949000, 5242638564584, 91679301222600, 218769735974400, 0, 0, -789927380944, 704293793984, -650510504520, -944210997872, 1056440690976, 352146896992, -452661540496, -563308230128, 0, -2891279821816, -2891279821816, 4833399210784, 4968271620888, 1505535375408, 14190724368440, 17015108956240, 11715682691224, 27334563330896, 29647034156784, 30705638731904, 56927957358616, 121864127488008, -1579854761888, -789927380944, -60763644688, 511093628096, 244608950144, 710454015392, 1161604132616, -3227840056768, -1013709793736, 7219674045712, 4968271620888, 3462736245480, 16147925238512, 26008729643744, 0, 19557636944648, 19557636944648, 4800986468192, 12570065297744, 41611540995552, 1458327472512, 729163736256, 1336800183136, -7516755286608, -975527482352, 7404153376464, -11639714798040, 2286566009200, 14503406587416, 22907251783008, -11715682691224, 15618880639672, 13306409813784, 4800986468192, -7769078829552, 0, 1215272893760, 607636446880, 7291637362560, 15377742452848, 16091076154384, 3553129039360, 22762795455832, 22995675040336, 3771313675840, 30705638731904, -26222318626712, -41611540995552, 13368001831360, 6684000915680, -28862731226800, 5723092681616, -24881873930344, 5242638564584, -86436662658016, -121864127488008, -71093464284960, -35546732142480, -157695401363760, -218769735974400)"
"[2, 2, 2, 2, 2, 2]","(-10134171912960, -291259065736704, 259949857541312, 0, -259949857541312, 291259065736704, 10134171912960, -5067085956480, -5067085956480, -145629532868352, -145629532868352, 129974928770656, 129974928770656, 0, 0, -129974928770656, -129974928770656, 145629532868352, 145629532868352, 5067085956480, 5067085956480, 5067085956480, 0, -142251475564032, -1689028652160, 556945597032656, 472227074841120, -200847017285632, 358210781788784, 543803981175936, -275832709108192, 0, 275832709108192, -543803981175936, -358210781788784, 200847017285632, -472227074841120, -556945597032656, 1689028652160, 142251475564032, 0, -5067085956480, 10134171912960, 5067085956480, -140562446911872, 1689028652160, 558634625684816, 643353147876352, 0, 529336854824016, 529336854824016, 815705971763904, -228455759494272, 155306962849360, 271901990587968, 478736528047616, -478736528047616, -271901990587968, -155306962849360, 228455759494272, -815705971763904, -529336854824016, -529336854824016, 0, -643353147876352, -558634625684816, -1689028652160, 140562446911872, -5067085956480, -10134171912960, -291259065736704, -145629532868352, -275604461639008, -200847017285632, -559057799074416, -373464599687264, -228455759494272, -383762722343632, -267167694605024, -357407204326064, 0, -171575719763584, -171575719763584, 0, -357407204326064, -267167694605024, -383762722343632, -228455759494272, -373464599687264, -559057799074416, -200847017285632, -275604461639008, -145629532868352, -291259065736704, -259949857541312, -129974928770656, -129974928770656, 275832709108192, 275832709108192, 0, 478736528047616, 206834537459648, 90239509721040, 357407204326064, -357407204326064, -90239509721040, -206834537459648, -478736528047616, 0, -275832709108192, -275832709108192, 129974928770656, 129974928770656, 259949857541312, 0, 0, 129974928770656, -543803981175936, -185593199387152, 373464599687264, -815705971763904, -286369116939888, -286369116939888, -815705971763904, 373464599687264, -185593199387152, -543803981175936, 129974928770656, 0, 0, 259949857541312, 129974928770656, 275604461639008, 472227074841120, -84718522191536, -643353147876352, 643353147876352, 84718522191536, -472227074841120, -275604461639008, -129974928770656, -259949857541312, 291259065736704, 145629532868352, 140562446911872, 142251475564032, 142251475564032, 140562446911872, 145629532868352, 291259065736704, -10134171912960, -5067085956480, 5067085956480, 10134171912960)"
"[1, 3, 3, 2, 0, 0]","(-524997890104320, -583330989004800, -1299855887165696, 0, 1299855887165696, 583330989004800, 524997890104320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1972285065976320, 1252019535344640, 780986143990272, 2482164158601600, -1006610984910208, -1183563616856960, -848720081069568, -1401727443776384, -1246451285130240, 35896714745984, 0, -35896714745984, 1246451285130240, 1401727443776384, 848720081069568, 1183563616856960, 1006610984910208, -2482164158601600, -780986143990272, -1252019535344640, -1972285065976320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1940130207995904, 4989617367928128, 5943710377671360, 1439769346714816, 3588279208263104, 2729461168438656, 1480736311786848, -810739971890592, -594755685110112, -1053899706574560, -395551849274752, -4040323036737664, -4040323036737664, -395551849274752, -1053899706574560, -594755685110112, -810739971890592, 1480736311786848, 2729461168438656, 3588279208263104, 1439769346714816, 5943710377671360, 4989617367928128, -1940130207995904, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16976906483465088, 5203968034988448, 898588829264928, -19325077681415424, -19115296668152704, -24908678923758976, -18733860253751136, -31653519902203424, -31653519902203424, -18733860253751136, -24908678923758976, -19115296668152704, -19325077681415424, 898588829264928, 5203968034988448, 16976906483465088, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 97809619305047424, 155064610466304032, 142518689640463712, 107782090813451264, 107782090813451264, 142518689640463712, 155064610466304032, 97809619305047424, 0, 0, 0, 0)"
"[2, 2, 2, 0, 0, 0]","(0, -13009191721369856, 0, 0, 0, 13009191721369856, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15458323062835072, 0, 0, 0, 1641088148931072, -7932076474906304, -12543095374438272, 0, 0, 0, 12543095374438272, 7932076474906304, -1641088148931072, 0, 0, 0, -15458323062835072, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -13009191721369856, 0, 0, 1641088148931072, 9573164623837376, 4962145724305408, 0, 0, 0, 0, 0, -12941567668839936, -12941567668839936, 0, 0, 0, 0, 0, 4962145724305408, 9573164623837376, 1641088148931072, 0, 0, -13009191721369856, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12543095374438272, 4611018899531968, -4962145724305408, 0, 0, 0, 0, -4962145724305408, 4611018899531968, 12543095374438272, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13009191721369856, 0, 0, -15458323062835072, -15458323062835072, 0, 0, 13009191721369856, 0, 0, 0, 0)"
